hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,per_night,Log_number_of_ratings,Log_price,Size
ستديو القهوة النجدية المزاحمية طريق مكة,Makkah ,144,One-Bedroom Apartment,1,0.0,Very good,0,1,-inf,4.969813299576000,30
Danat Layalina Apparthotel,Al Namas  ,200,One-Bedroom Apartment,3,7.6,Good,499,1,6.212606095751520,5.298317366548040,37
OYO 351 Darr Mesk,Hail  ,122,Standard Studio Double,1,5.8,Very good,123,1,4.812184355372420,4.804021044733260,28
Al Fairouz Resort,Taif ,215,Suite with Balcony,1,7.7,Good,197,1,5.2832037287379900,5.3706380281276600,40
Grand Star Al Saha Hotel,Jeddah  ,203,Standard Twin Room,1,7.3,Good,249,1,5.517452896464710,5.313205979041790,28
Silent Room 3 By Quiet Rooms,Riyadh  ,216,Deluxe Suite,2,7.2,Good,307,1,5.726847747587200,5.375278407684170,28
Mar Al Diyafah,Burayman,210,Economy Double or Twin Room,1,8.4,Good,39,1,3.6635616461296500,5.3471075307174700,35
OYO 315 Ramz Abha Hotel,Abha  ,126,Standard Studio,1,8.0,Good,1390,1,7.237059026124740,4.836281906951480,29
OYO 277 Al Tamayoz Al Raqi Furnished Units 3,Jeddah  ,88,Deluxe Studio,2,6.1,Very good,328,1,5.793013608384140,4.477336814478210,35
Al Naseem Apartments 9,Riyadh  ,44,Twin Room,2,4.8,Very good,26,1,3.258096538021480,3.784189633918260,30
Jood At Taif residential units,Taif  ,120,Studio Apartment,2,7.0,Good,166,1,5.111987788356540,4.787491742782050,37
Rest Night Hotel Apartments Wadi Al Dawasir,Wadi Al Dawasir  ,252,Double Room,2,8.1,Good,1233,1,7.117205503164340,5.529429087511420,28
Royal Nights Chalet,Ad Darb  ,500,Two-Bedroom Chalet,3,5.2,Very good,4,1,1.3862943611198900,6.214608098422190,40
Comfort Inn AL TAAWON FAMILY ONLY,Riyadh  ,171,Studio,1,5.5,Very good,470,1,6.152732694704100,5.14166355650266,28
فندق زهرة السعد 6,Makkah  ,100,Deluxe Double Room,1,7.6,Good,107,1,4.672828834461910,4.605170185988090,28
درة العروس - للعائلات فقط,Jeddah ,650,Three-Bedroom Chalet,6,7.4,Good,55,1,4.007333185232470,6.476972362889680,77
Seasons Park Hotel,Jeddah,330,Queen Room with Two Queen Beds,2,8.6,Fabulous,1029,1,6.9363427358340500,5.799092654460530,29
OYO 167 Dar Al Raies Hotel,Makkah  ,91,Standard Studio,1,7.1,Good,852,1,6.747586526829320,4.51085950651685,35
فندق حياة المدينة,Madinah,108,Deluxe King Room,1,7.0,Good,35,1,3.5553480614894100,4.68213122712422,30
Al Eairy Apartments- Riyadh 3,Riyadh  ,105,Double or Twin Room,1,5.4,Very good,604,1,6.403574197934820,4.653960350157520,37
By Quiet Rooms ركن العمر للوحدات السكنية,Riyadh  ,191,Studio,1,6.4,Very good,205,1,5.3230099791384100,5.25227342804663,28
Samaa Eva Resort,Abha  ,250,Junior Suite,1,8.3,Good,583,1,6.368187186350490,5.521460917862250,40
Nawazi Al Tawsea,Makkah  ,75,Double Room,2,5.4,Very good,432,1,6.068425588244110,4.31748811353631,28
Quetzal Aparthotel,Riyadh ,383,Standard Double Room,2,7.9,Good,1773,1,7.480428306074210,5.948034989180650,28
The origins of Capricorn Arbism 15,Dammam  ,85,One-Bedroom Apartment,2,4.5,Very good,20,1,2.995732273553990,4.442651256490320,35
نوفا السويدى,Riyadh  ,280,Two-Bedroom Apartment,5,5.3,Very good,23,1,3.1354942159291500,5.634789603169250,70
